#PC	Nnz	Obj	d(ortho)	Time	PVE	APVE	CPVE
1 	 130 	 15030 	 0.000 	 1.249 	 15030 15030 0.03 
2 	 133 	 19013 	 0.011 	 2.957 	 19012 3982 0.03 
3 	 126 	 25561 	 0.030 	 4.850 	 25534 6521 0.04 
4 	 122 	 35767 	 0.125 	 5.641 	 35144 9610 0.06 
5 	 162 	 39947 	 0.085 	 9.172 	 39443 4299 0.07 
6 	 178 	 44042 	 0.248 	 16.724 	 43306 3863 0.07 
7 	 183 	 48252 	 0.163 	 25.626 	 47228 3922 0.08 
8 	 172 	 51262 	 0.246 	 29.601 	 50218 2990 0.08 
9 	 138 	 53825 	 0.532 	 49.106 	 52739 2521 0.09 
10 	 174 	 56895 	 0.485 	 54.599 	 55368 2629 0.09 
11 	 193 	 59214 	 1.083 	 55.133 	 57704 2336 0.10 
12 	 165 	 61517 	 0.908 	 59.193 	 60093 2389 0.10 
13 	 160 	 64092 	 0.860 	 58.946 	 62343 2250 0.10 
14 	 403 	 66029 	 0.835 	 115.542 	 64250 1907 0.11 
15 	 173 	 67650 	 1.073 	 124.722 	 65868 1618 0.11 
16 	 173 	 69381 	 0.998 	 129.816 	 67567 1699 0.11 
17 	 166 	 71196 	 1.224 	 134.029 	 69685 2119 0.12 
18 	 217 	 72862 	 1.581 	 141.205 	 71217 1531 0.12 
19 	 222 	 74355 	 1.456 	 163.087 	 72846 1630 0.12 
20 	 185 	 75728 	 0.847 	 171.095 	 74168 1321 0.12 
21 	 148 	 76997 	 0.957 	 200.110 	 75397 1230 0.13 
22 	 148 	 78171 	 1.039 	 208.352 	 76607 1209 0.13 
23 	 196 	 79685 	 0.728 	 202.054 	 78004 1397 0.13 
24 	 156 	 81996 	 0.807 	 217.795 	 80182 2178 0.13 
25 	 198 	 83155 	 0.103 	 222.690 	 81703 1521 0.14 
