# Results from matrix projection
PCs	Nnz	Obj	dortho	Time	VE	AVE	PVE	Iter
1	130	19963	0.000	2.040	19963	19963	0.033	211
2	273	28454	0.002	4.547	28453	8490	0.047	361
3	419	34849	0.001	6.965	34849	6396	0.058	434
4	533	43393	0.001	7.949	43393	8544	0.072	281
5	687	48002	0.002	9.665	48001	4608	0.080	351
6	854	53700	0.002	9.863	53698	5697	0.089	381
7	1042	58823	0.002	12.280	58823	5125	0.098	311
8	1207	62166	0.002	10.312	62165	3342	0.103	251
9	1345	64972	0.002	16.278	64971	2807	0.108	281
10	1518	68394	0.002	12.561	68391	3420	0.114	271
11	1711	71580	0.002	18.779	71578	3187	0.119	242
12	1877	75702	0.002	20.434	75699	4120	0.126	333
13	2037	77586	0.002	28.007	77585	1887	0.129	354
14	2439	82797	0.002	23.912	82796	5211	0.138	351
15	2613	84172	0.002	22.609	84171	1375	0.140	311
16	2786	86034	0.002	28.712	86035	1863	0.143	321
17	2951	88143	0.002	26.027	88141	2107	0.147	301
18	3169	90511	0.002	46.408	90513	2372	0.151	371
19	3390	92612	0.002	58.147	92613	2100	0.154	423
20	3576	94644	0.002	32.501	94644	2031	0.158	355
21	3725	95816	0.002	52.924	95817	1173	0.159	381
22	3873	97220	0.002	147.494	97222	1405	0.162	1040
23	4068	99014	0.002	68.721	99015	1792	0.165	483
24	4225	100196	0.002	55.022	100196	1182	0.167	391
25	4423	101861	0.002	148.035	101862	1666	0.170	915
# Results from columnwise projection
1	130	19963	0.000	1.997	19963	19963	0.033	211
2	137	25934	0.002	8.843	25932	5969	0.043	594
3	126	32945	0.002	6.363	32944	7012	0.055	321
4	122	42065	0.002	9.229	42065	9120	0.070	392
5	162	46461	0.002	16.902	46460	4395	0.077	581
6	178	49520	0.002	17.315	49520	3060	0.082	495
7	183	53592	0.002	30.859	53592	4071	0.089	731
8	172	57069	0.002	32.135	57068	3477	0.095	697
9	138	59922	0.002	37.043	59921	2853	0.100	714
10	174	63482	0.002	30.215	63481	3560	0.106	533
11	193	65814	0.002	37.244	65814	2332	0.110	581
12	165	69307	0.002	23.336	69305	3491	0.115	341
13	160	70632	0.002	23.080	70632	1327	0.118	321
14	403	73019	0.002	35.983	73019	2387	0.122	452
15	173	74362	0.002	61.015	74362	1343	0.124	708
16	173	76803	0.002	30.509	76802	2440	0.128	361
17	166	78687	0.002	50.052	78687	1885	0.131	517
18	217	80594	0.002	43.915	80592	1905	0.134	426
19	222	82348	0.002	67.960	82348	1755	0.137	603
20	185	84165	0.002	105.420	84166	1818	0.140	851
21	148	84971	0.002	58.164	84971	805	0.141	471
22	148	86723	0.002	75.476	86720	1749	0.144	569
23	196	88868	0.002	57.589	88868	2147	0.148	381
24	156	89850	0.002	124.898	89852	984	0.150	887
25	198	90976	0.002	102.037	90976	1124	0.151	693
# Remember: added compute cost of SVD warm start in Julia is ~2 sec!
